,,2016,2017,2018,2019,2020
Poland,GF0303,0.5,0.5,0.5,0.5 ,0.6 
Poland,GF0304,0.2,0.2,0.2,0.2 ,0.2 
Poland,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Poland,GF0306,0.1,0.0,0.1,0.1 ,0.2 
Romania,GF03,2.1,2.0,2.2,2.2 ,2.5 
Romania,GF0301,1.0,0.9,1.1,1.2 ,1.4 
Romania,GF0303,0.4,0.5,0.4,0.4 ,0.4 
Romania,GF0304,0.1,0.1,0.1,0.1 ,0.1 
Romania,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Romania,GF0306,0.3,0.2,0.2,0.3 ,0.3 
Slovakia,GF03,2.4,2.1,2.2,2.3 ,2.4 
Slovakia,GF0301,1.1,1.0,1.0,1.0 ,1.1 
Slovakia,GF0303,0.3,0.3,0.3,0.3 ,0.3 
Slovakia,GF0304,0.2,0.2,0.2,0.2 ,0.2 
Slovakia,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Slovakia,GF0306,0.7,0.6,0.5,0.5 ,0.5 
Slovenia,GF03,1.7,1.6,1.5,1.6 ,1.7 
Slovenia,GF0301,0.9,0.8,0.8,0.8 ,0.9 
Slovenia,GF0303,0.5,0.5,0.5,0.5 ,0.5 
Slovenia,GF0304,0.1,0.1,0.1,0.1 ,0.1 
Slovenia,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Slovenia,GF0306,0.1,0.1,0.1,0.1 ,0.1 
Greece,GF03,2.2,2.1,2.3,2.1 ,2.4 
Greece,GF0301,1.4,1.4,1.5,1.4 ,1.5 
Greece,GF0303,0.3,0.3,0.4,0.4 ,0.4 
Greece,GF0304,0.1,0.1,0.1,0.1 ,0.1 
Greece,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Greece,GF0306,0.0,0.0,0.0,0.0 ,0.0 
Italy,GF03,1.8,1.8,1.8,1.8 ,2.0 
Italy,GF0301,1.1,1.1,1.1,1.1 ,1.2 
Italy,GF0303,0.3,0.3,0.3,0.3 ,0.4 
Italy,GF0304,0.2,0.2,0.2,0.2 ,0.2 
Italy,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Italy,GF0306,0.0,0.0,0.0,0.0 ,0.0 
Portugal,GF03,1.8,1.7,1.7,1.6 ,1.9 
Portugal,GF0301,1.0,1.0,1.0,1.0 ,1.1 
Portugal,GF0303,0.3,0.3,0.3,0.3 ,0.4 
Portugal,GF0304,0.1,0.1,0.1,0.1 ,0.1 
Portugal,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Portugal,GF0306,0.1,0.1,0.1,0.1 ,0.1 
Spain,GF03,1.9,1.8,1.8,1.8 ,2.1 
Spain,GF0301,1.2,1.2,1.1,1.1 ,1.3 
Spain,GF0303,0.3,0.3,0.3,0.3 ,0.4 
Spain,GF0304,0.2,0.2,0.1,0.1 ,0.2 
Spain,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Spain,GF0306,0.0,0.0,0.0,0.0 ,0.0 
Austria,GF03,1.3,1.4,1.4,1.3 ,1.4 
Austria,GF0301,0.7,0.7,0.7,0.7 ,0.7 
Austria,GF0303,0.3,0.3,0.3,0.3 ,0.3 
Austria,GF0304,0.1,0.1,0.1,0.1 ,0.2 
Austria,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Austria,GF0306,0.1,0.1,0.1,0.1 ,0.1 
France,GF03,1.6,1.6,1.6,1.6 ,1.8 p
France,GF0301,0.9,0.9,0.9,0.9 ,1.0 p
France,GF0303,0.2,0.2,0.2,0.2 ,0.2 p
France,GF0304,0.2,0.2,0.2,0.2 ,0.2 p
France,GF0305,0.0,0.0,0.0,0.0 ,0.0 p
France,GF0306,0.0,0.0,0.0,0.0 ,0.1 p
Germany,GF03,1.5,1.6,1.6,1.6 p,1.7 p
Germany,GF0301,0.7,0.8,0.8,0.8 p,0.8 p
Germany,GF0303,0.4,0.4,0.4,0.4 p,0.4 p
Germany,GF0304,0.1,0.1,0.1,0.1 p,0.1 p
Germany,GF0305,0.0,0.0,0.0,0.0 p,0.0 p
Germany,GF0306,0.1,0.1,0.1,0.1 p,0.1 p
Netherlands,GF03,1.9,1.8,1.8,1.8 ,2.0 
Netherlands,GF0301,0.8,0.8,0.9,0.9 ,0.9 
Netherlands,GF0303,0.3,0.3,0.3,0.3 ,0.3 
Netherlands,GF0304,0.4,0.3,0.3,0.3 ,0.4 
Netherlands,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Netherlands,GF0306,0.2,0.2,0.2,0.2 ,0.2 
Belgium,GF03,1.7,1.7,1.7,1.7 ,1.8 
Belgium,GF0301,1.0,1.0,1.0,1.0 ,1.1 
Belgium,GF0303,0.3,0.3,0.3,0.2 ,0.3 
Belgium,GF0304,0.1,0.1,0.1,0.1 ,0.1 
Belgium,GF0305,0.0,0.0,0.0,0.0 ,0.0 
Belgium,GF0306,0.1,0.1,0.1,0.1 ,0.1 
